Rank,District,Population,Decadal_Growth_%,Sex_Ratio,Literacy_%,Density
1,Chennai,4646732,6.98,989,90.18,26553
2,Kancheepuram,3998252,38.95,986,84.49,892
3,Vellore,3936331,13.2,1007,79.17,648
4,Thiruvallur,3728104,35.33,987,84.03,1098
5,Salem,3482056,15.44,954,72.86,665
6,Viluppuram,3458873,16.84,987,71.88,481
7,Coimbatore,3458045,18.56,1000,83.98,731
8,Tirunelveli,3077233,12.97,1023,82.5,460
9,Madurai,3038252,17.84,990,83.45,819
10,Tiruchirappalli,2722290,12.57,1013,83.23,604
11,Cuddalore,2605914,14.02,987,78.04,704
12,Tiruppur,2479052,29.11,989,78.68,478
13,Tiruvannamalai,2464875,12.75,994,74.21,398
14,Thanjavur,2405890,8.56,1035,82.64,705
15,Erode,2251744,11.66,993,72.58,391
16,Dindigul,2159775,12.31,998,76.26,358
17,Virudhunagar,1942288,10.91,1007,80.15,458
18,Krishnagiri,1879809,20.41,958,71.46,367
19,Kanniyakumari,1870374,11.6,1019,91.75,1111
20,Thoothukkudi,1750176,11.32,1023,86.16,369
21,Namakkal,1726601,15.61,986,74.63,505
22,Pudukkottai,1618345,10.88,1015,77.19,348
23,Nagapattinam,1616450,8.57,1025,83.59,629
24,Dharmapuri,1506843,16.34,946,68.54,335
25,Ramanathapuram,1353445,13.96,983,80.72,330
26,Sivaganga,1339101,15.9,1003,79.85,316
27,Thiruvarur,1264277,8.11,1017,82.86,556
28,Theni,1245899,13.89,991,77.26,434
29,Karur,1064493,13.77,1015,75.6,367
30,Ariyalur,754894,8.54,1015,71.34,389
31,The Nilgiris,735394,-3.51,1042,85.2,287
32,Perambalur,565223,14.5,1003,74.32,322
